Hero_id,Hero_name,Movie,Affiliation,villain,degree,closeness,betweenness,Spider-Man: Homecoming,The Incredible Hulk,Shang-Chi and the Legend of the Ten Rings,Captain America: The First Avenger,Captain America: The Winter Soldier,Eternals,Avengers: Endgame,Iron Man 3,Guardians of the Galaxy Vol. 2,Doctor Strange in the Multiverse of Madness,Doctor Strange,Black Panther: Wakanda Forever,Ant-Man,Captain America: Civil War,Ant-Man and the Wasp,Ant-Man and the Wasp: Quantumania,Iron Man 2,Captain Marvel,Thor: Love and Thunder,Black Panther,Avengers: Infinity War,Guardians of the Galaxy,Marvel’s The Avengers,Spider-Man: Far From Home,Spider-Man: No Way Home,Avengers: Age of Ultron,Thor: Ragnarok,Black Widow,Thor: The Dark World,Iron Man,Thor,Villain,is_villain
0,Aaron Davis,Spider-Man: Homecoming,Unnafiliated,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
1,Abomination,The Incredible Hulk,Unnafiliated,1,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Abomination,1.0
1,Abomination,Shang-Chi and the Legend of the Ten Rings,Unnafiliated,1,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Abomination,1.0
2,Abraham,Spider-Man: Homecoming,Unnafiliated,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
3,Abraham Erskine,Captain America: The First Avenger,Unnafiliated,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
4,Agent 13,Captain America: The Winter Soldier,Unnafiliated,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
5,Ajak,Eternals,Unnafiliated,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
6,Akihiko,Avengers: Endgame,Unnafiliated,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
7,Aldrich Killian,Iron Man 3,A.I.M.,1,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aldrich Killian,1.0
8,Aleta Ogord,Guardians of the Galaxy Vol. 2,Unnafiliated,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
9,Alexander Pierce,Captain America: The Winter Soldier,Unnafiliated,1,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alexander Pierce,1.0
9,Alexander Pierce,Avengers: Endgame,Unnafiliated,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alexander Pierce,1.0
10,America Chavez,Doctor Strange in the Multiverse of Madness,Unnafiliated,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
11,Ancient One,Doctor Strange,Unnafiliated,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
11,Ancient One,Avengers: Endgame,Unnafiliated,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0
